GEOID,neet_count,neet_count_moe,total_youth,total_youth_moe,neet_percent,neet_percent_moe,neet_percent_cv,neet_male_count,neet_male_moe,total_male,total_male_moe,neet_percent_male,neet_percent_male_moe,neet_percent_male_cv,neet_female_count,neet_female_moe,total_female,total_female_moe,neet_percent_female,neet_percent_female_moe,neet_percent_female_cv
24001000100,13,24.413111231467404,113,67,11.504424778761061,22.655778436843068,1.9693099718178977,13,20,86,53,15.11627906976744,25.0523028253322,1.657306186906592,0,14,0,14,,,
24001000200,20,28.653097563788805,127,84,15.748031496062993,24.849839194963856,1.5779647888802049,20,25,104,84,19.230769230769234,28.620055346073755,1.488242877995835,0,14,20,25,0.0,,
24001000500,0,19.79898987322333,259,70,0.0,,,0,14,117,47,0.0,,,0,14,0,14,,,
24001000600,0,19.79898987322333,92,71,0.0,,,0,14,87,69,0.0,,,0,14,0,14,,,
24001000700,16,31.304951684997057,313,170,5.111821086261981,10.37978687086002,2.0305458066119915,0,14,143,97,0.0,,,16,28,0,14,inf,inf,
24001000800,0,19.79898987322333,88,58,0.0,,,0,14,55,54,0.0,,,0,14,0,14,,,
24001001000,0,19.79898987322333,124,83,0.0,,,0,14,61,63,0.0,,,0,14,0,14,,,
24001001100,6,18.439088914585774,71,31,8.450704225352112,26.23134695037237,3.1040427224607305,6,12,61,28,9.836065573770492,20.183587502265652,2.051998062730341,0,14,6,12,0.0,,
24001001200,42,41.43669871020132,98,51,42.857142857142854,47.80407716616233,1.1154284672104544,42,39,60,43,70.0,82.10782206613717,1.1729688866591026,0,14,24,30,0.0,,
24001001300,0,26.870057685088806,110,63,0.0,,,0,19,75,61,0.0,,,0,19,0,19,,,
24001001401,33,35.38361202590826,133,67,24.81203007518797,29.39416324704839,1.184673852078011,17,26,117,57,14.529914529914532,23.322410226812597,1.6051305861982785,16,24,17,26,94.11764705882352,201.62057007202924,2.142218557015311
24001001402,0,19.79898987322333,46,30,0.0,,,0,14,14,18,0.0,,,0,14,0,14,,,
24001001502,8,19.1049731745428,41,31,19.51219512195122,48.877205666116325,2.5049567903884618,8,13,18,18,44.44444444444444,84.80187512485415,1.9080421903092184,0,14,8,13,0.0,,
24001001503,7,17.804493814764857,70,46,10.0,26.270181746223074,2.6270181746223074,7,11,18,22,38.88888888888889,77.41931898821308,1.990782488268336,0,14,7,11,0.0,,
24001001600,0,19.79898987322333,33,23,0.0,,,0,14,13,13,0.0,,,0,14,0,14,,,
24001001700,0,19.79898987322333,62,56,0.0,,,0,14,30,38,0.0,,,0,14,0,14,,,
24001001800,5,16.1245154965971,818,147,0.6112469437652812,1.974270331419232,3.2299062622018635,5,8,291,117,1.718213058419244,2.8346108872286226,1.6497435363670583,0,14,5,8,0.0,,
24001001900,16,26.076809620810597,202,136,7.920792079207921,13.967433419267236,1.7633884691824886,16,22,131,81,12.213740458015266,18.41379002572608,1.507629058356323,0,14,16,22,0.0,,
24001002000,7,33.015148038438355,188,125,3.723404255319149,17.734892037751905,4.763085290139083,7,27,47,78,14.893617021276595,62.53854160991273,4.199016365236997,0,19,0,19,,,
24001002100,8,18.439088914585774,130,54,6.153846153846154,14.412413293573874,2.3420171602057542,8,12,90,46,8.88888888888889,14.086111378236989,1.5846875300516612,0,14,8,12,0.0,,
24001002200,0,19.79898987322333,178,72,0.0,,,0,14,110,53,0.0,,,0,14,0,14,,,
24001002300,8,23.021728866442675,96,60,8.333333333333332,24.540039561228635,2.944804747347437,0,19,73,63,0.0,,,8,13,0,19,inf,inf,
24003701101,0,19.79898987322333,113,67,0.0,,,0,14,73,46,0.0,,,0,14,0,14,,,
24003701103,0,19.79898987322333,55,50,0.0,,,0,14,20,33,0.0,,,0,14,0,14,,,
24003701104,0,19.79898987322333,150,118,0.0,,,0,14,82,71,0.0,,,0,14,0,14,,,
24003701201,0,19.79898987322333,416,274,0.0,,,0,14,332,274,0.0,,,0,14,0,14,,,
24003701202,0,19.79898987322333,231,132,0.0,,,0,14,157,95,0.0,,,0,14,0,14,,,
24003701301,0,19.79898987322333,206,180,0.0,,,0,14,129,141,0.0,,,0,14,0,14,,,
24003701302,0,19.79898987322333,324,161,0.0,,,0,14,127,63,0.0,,,0,14,0,14,,,
24003701400,0,19.79898987322333,86,69,0.0,,,0,14,71,61,0.0,,,0,14,0,14,,,
24003702100,0,26.870057685088806,155,101,0.0,,,0,19,61,76,0.0,,,0,19,0,19,,,
24003702204,11,22.80350850198276,195,64,5.641025641025641,11.839757973117996,2.0988661861436446,11,18,101,61,10.891089108910892,18.99692593910581,1.7442631998633515,0,14,11,18,0.0,,
24003702205,88,71.56814934033156,290,144,30.344827586206897,28.91495717143556,0.9528792704223082,88,69,158,88,55.69620253164557,53.567044377063425,0.9617719331336388,0,19,88,69,0.0,,
24003702206,2,20.615528128088304,186,107,1.0752688172043012,11.100864785973698,10.323804250955538,0,19,97,77,0.0,,,2,8,0,19,inf,inf,
24003702208,19,36.359317925395686,341,157,5.571847507331378,10.966816712199304,1.9682549993999805,19,31,238,119,7.9831932773109235,13.623103224263422,1.706472930197208,0,19,19,31,0.0,,
24003702209,0,19.79898987322333,124,56,0.0,,,0,14,64,41,0.0,,,0,14,0,14,,,
24003702300,0,26.870057685088806,262,114,0.0,,,0,19,115,72,0.0,,,0,19,0,19,,,
24003702402,49,61.032778078668514,244,224,20.081967213114755,31.07337173126336,1.5473270821282163,49,58,74,61,66.21621621621621,95.51200815022173,1.442426245533961,0,19,16,30,0.0,,
24003702500,0,26.870057685088806,788,581,0.0,,,0,19,341,309,0.0,,,0,19,0,19,,,
24003702601,0,26.870057685088806,249,157,0.0,,,0,19,143,108,0.0,,,0,19,0,19,,,
24003702602,23,28.319604517012593,330,135,6.969696969696971,9.042959362139248,1.297468082393892,23,21,247,141,9.31174089068826,10.026969528581771,1.0768093363303033,0,19,0,19,,,
24003702702,13,23.600847442411894,183,118,7.103825136612022,13.685950646173776,1.9265607448075392,13,19,63,39,20.634920634920633,32.75246619975031,1.5872349004494382,0,14,0,14,,,
24003702703,0,19.79898987322333,6,15,0.0,,,0,14,6,15,0.0,,,0,14,0,14,,,
24003702704,10,22.80350850198276,40,45,25.0,63.568983199355955,2.542759327974238,0,14,40,45,0.0,,,10,18,0,14,inf,inf,
24003706102,0,19.79898987322333,123,62,0.0,,,0,14,29,37,0.0,,,0,14,0,14,,,
24003706103,0,19.79898987322333,191,76,0.0,,,0,14,38,32,0.0,,,0,14,0,14,,,
24003706302,0,19.79898987322333,43,50,0.0,,,0,14,11,17,0.0,,,0,14,0,14,,,
24003706303,30,16.64331697709324,100,39,30.0,20.34428666726853,0.678142888908951,30,9,60,19,50.0,21.81042054717067,0.4362084109434134,0,14,30,9,0.0,,
24003706304,0,19.79898987322333,0,14,,,,0,14,0,14,,,,0,14,0,14,,,
24003706402,0,19.79898987322333,76,68,0.0,,,0,14,46,52,0.0,,,0,14,0,14,,,
24003706403,68,102.95630140987001,185,134,36.75675675675676,61.69261401525282,1.6784019989443781,68,102,86,96,79.06976744186046,147.84310599159053,1.8697804581289392,0,14,68,102,0.0,,
24003706404,52,82.20097323024831,124,105,41.935483870967744,75.20281176187068,1.793297818936916,52,81,124,105,41.935483870967744,74.35046410693298,1.772972605626863,0,14,52,81,0.0,,
24003706500,0,26.870057685088806,39,46,0.0,,,0,19,39,46,0.0,,,0,19,0,19,,,
24003706600,0,26.870057685088806,231,115,0.0,,,0,19,190,100,0.0,,,0,19,0,19,,,
24003706700,223,83.18653737234169,288,95,77.43055555555556,38.55719558220783,0.49795840034420874,223,82,234,72,95.2991452991453,45.692676618135884,0.4794657546477039,0,14,215,41,0.0,,
24003707001,0,26.870057685088806,685,340,0.0,,,0,19,316,192,0.0,,,0,19,0,19,,,
24003707002,16,29.5296461204668,128,74,12.5,24.175395923674266,1.9340316738939414,16,26,37,35,43.24324324324324,81.3092427411607,1.8802762383893412,0,14,16,26,0.0,,
24003708001,0,19.79898987322333,115,72,0.0,,,0,14,30,31,0.0,,,0,14,0,14,,,
24003708004,0,26.870057685088806,194,141,0.0,,,0,19,169,137,0.0,,,0,19,0,19,,,
24003730101,0,19.79898987322333,155,53,0.0,,,0,14,40,51,0.0,,,0,14,0,14,,,
24003730102,0,29.698484809834994,527,343,0.0,,,0,21,201,163,0.0,,,0,21,0,21,,,
24003730204,47,53.25410782277739,528,227,8.901515151515152,10.787643693740637,1.2118884830415013,28,44,193,123,14.507772020725387,24.601461352296194,1.6957435860689878,19,30,0,19,inf,inf,
24003730205,0,19.79898987322333,0,14,,,,0,14,0,14,,,,0,14,0,14,,,
24003730206,10,22.02271554554524,54,57,18.51851851851852,45.22538258614478,2.442170659651818,10,17,54,57,18.51851851851852,37.05646495480336,2.0010491075593815,0,14,10,17,0.0,,
